"","gene","P30","P210","log2_fold_change","change","condition"
"1","ENSMUSG00000021280",0,41.285120445094,-Inf,"upregulation","cng"
"2","ENSMUSG00000102517",0,29.6128909647097,-Inf,"upregulation","cng"
"3","ENSMUSG00000105720",0,20.3208397753588,-Inf,"upregulation","cng"
"4","ENSMUSG00000109162",0,19.3856789631505,-Inf,"upregulation","cng"
"5","ENSMUSG00000105485",0,18.3630382678918,-Inf,"upregulation","cng"
"6","ENSMUSG00000103225",0,15.2477974364587,-Inf,"upregulation","cng"
"7","ENSMUSG00000107109",0,15.2477974364587,-Inf,"upregulation","cng"
"8","ENSMUSG00000097081",0,15.0612015426612,-Inf,"upregulation","cng"
"9","ENSMUSG00000002100",0,14.9352680505016,-Inf,"upregulation","cng"
"10","ENSMUSG00000109282",0,11.941585763157,-Inf,"upregulation","cng"
"11","ENSMUSG00000024114",20.9744098788212,0,Inf,"downregulation","cng"
"12","ENSMUSG00000036198",45.6157189927053,0,Inf,"downregulation","cng"
"13","ENSMUSG00000073164",4.43600437379304,0,Inf,"downregulation","cng"
"14","ENSMUSG00000099876",110.719725571165,0,Inf,"downregulation","cng"
"15","ENSMUSG00000117786",66.9836660442749,0,Inf,"downregulation","cng"
"16","ENSMUSG00000069049",698.923289392775,0.421704357856852,10.6946864749947,"downregulation","cng"
"17","ENSMUSG00000069045",711.598297310333,0.516815331227034,10.4271984753002,"downregulation","cng"
"18","ENSMUSG00000068457",245.967253582823,0.717475223554067,8.4213215300332,"downregulation","cng"
"19","ENSMUSG00000056673",416.252275294009,1.75110588600814,7.89304802454996,"downregulation","cng"
"20","ENSMUSG00000059751",30.5674127755154,0.717475223554067,5.41292162520767,"downregulation","cng"
"21","ENSMUSG00000109387",0,22.718359020675,-Inf,"upregulation","control"
"22","ENSMUSG00000104027",0,22.507019507857,-Inf,"upregulation","control"
"23","ENSMUSG00000020651",0,21.7913191891092,-Inf,"upregulation","control"
"24","ENSMUSG00000106443",0,21.7913191891092,-Inf,"upregulation","control"
"25","ENSMUSG00000084391",0,21.4839731665907,-Inf,"upregulation","control"
"26","ENSMUSG00000102659",0,19.7159554568131,-Inf,"upregulation","control"
"27","ENSMUSG00000104753",0,19.4728791605785,-Inf,"upregulation","control"
"28","ENSMUSG00000108269",0,19.4378804840583,-Inf,"upregulation","control"
"29","ENSMUSG00000104696",0,18.678273590665,-Inf,"upregulation","control"
"30","ENSMUSG00000030862",0,18.3910525405464,-Inf,"upregulation","control"
"31","ENSMUSG00000036198",42.9399134490226,0,Inf,"downregulation","control"
"32","ENSMUSG00000113439",23.8555074716792,0,Inf,"downregulation","control"
"33","ENSMUSG00000113332",22.5108020773499,0,Inf,"downregulation","control"
"34","ENSMUSG00000064080",20.4643655248635,0,Inf,"downregulation","control"
"35","ENSMUSG00000105703",16.3714924198908,0,Inf,"downregulation","control"
"36","ENSMUSG00000117328",13.5181209006182,0,Inf,"downregulation","control"
"37","ENSMUSG00000038064",10.2321827624318,0,Inf,"downregulation","control"
"38","ENSMUSG00000038600",10.2321827624318,0,Inf,"downregulation","control"
"39","ENSMUSG00000113411",10.2321827624318,0,Inf,"downregulation","control"
"40","ENSMUSG00000113199",8.18574620994542,0,Inf,"downregulation","control"
