"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000086503","ENSMUSG00000086503","  Xist",24,39303,17292,38513,54888,6,14,11,12,3,14
" ENSMUSG00000085715","ENSMUSG00000085715","  Tsix",20,3817,1688,3511,5328,2,2,3,5,0,6
" ENSMUSG00000069045","ENSMUSG00000069045","  Ddx3y",1800,0,0,1,0,1350,1347,1615,2263,1630,1727
" ENSMUSG00000069049","ENSMUSG00000069049","  Eif2s3y",1796,1,0,0,0,853,739,1752,1486,1271,692
" ENSMUSG00000056673","ENSMUSG00000056673","  Kdm5d",1276,0,1,2,0,760,687,1193,1204,1045,1019
" ENSMUSG00000100801","ENSMUSG00000100801","  Gm15459",23,19,1048,12,1246,29,13,2749,4288,53,15
" ENSMUSG00000068457","ENSMUSG00000068457","  Uty",732,0,1,0,0,621,502,748,819,741,806
" ENSMUSG00000030111","ENSMUSG00000030111","  A2m",7759,2546,1515,1791,85,60,45,6527,7145,5792,4401
" ENSMUSG00000023484","ENSMUSG00000023484","  Prph",940,398,178,264,3,2,0,1034,1011,892,759
" ENSMUSG00000024041","ENSMUSG00000024041","  Cryaa",2638,2130,1379,2135,1345,2190,448,3230,6473,2,4384
" ENSMUSG00000006154","ENSMUSG00000006154","  Eps8l1",19,492,837,805,657,17,69,18,19,1651,637
" ENSMUSG00000030209","ENSMUSG00000030209","  Grin2b",784,2305,24,1296,1198,47,62,783,124,73,1952
" ENSMUSG00000073164","ENSMUSG00000073164","  2410018L13Rik",227,0,0,0,170,255,233,1,0,169,143
" ENSMUSG00000117786","ENSMUSG00000117786","  ",0,0,0,278,0,306,255,2,0,0,0
" ENSMUSG00000099876","ENSMUSG00000099876","  Gm29650",290,0,0,0,0,155,74,336,270,175,113
" ENSMUSG00000028777","ENSMUSG00000028777","  Gnat3",471,376,258,24,14,17,7,618,497,646,23
" ENSMUSG00000022129","ENSMUSG00000022129","  Dct",710,58,17,219,304,31,0,25,790,388,19
" ENSMUSG00000001510","ENSMUSG00000001510","  Dlx3",630,195,127,104,8,5,3,565,390,388,299
" ENSMUSG00000030324","ENSMUSG00000030324","  Rho",844,234,19,71,6928,721,661,1221,1125,1099,1310
" ENSMUSG00000113586","ENSMUSG00000113586","  Gm48606",133,12,0,0,203,220,272,0,7,133,216
" ENSMUSG00000019966","ENSMUSG00000019966","  Kitl",419,195,52,78,3,7,7,427,431,411,335
" ENSMUSG00000023868","ENSMUSG00000023868","  Pde10a",180,64,2,23,660,1028,1255,114,50,112,119
" ENSMUSG00000021091","ENSMUSG00000021091","  Serpina3n",1623,200,89,183,114,32,13,1074,959,820,524
" ENSMUSG00000030208","ENSMUSG00000030208","  Emp1",234,432,1,274,463,28,55,172,20,5,328
" ENSMUSG00000042240","ENSMUSG00000042240","  Crybb2",955,782,451,775,473,810,123,1278,2411,7,1888
" ENSMUSG00000037225","ENSMUSG00000037225","  Fgf2",2199,1542,571,692,62,58,91,1535,2026,1601,1539
" ENSMUSG00000021994","ENSMUSG00000021994","  Wnt5a",996,1451,24,509,10,104,76,187,150,193,549
" ENSMUSG00000025359","ENSMUSG00000025359","  Pmel",306,32,3,163,162,9,7,4,210,294,10
" ENSMUSG00000053113","ENSMUSG00000053113","  Socs3",625,920,99,120,74,7,28,708,564,438,400
" ENSMUSG00000098262","ENSMUSG00000098262","  Gm27520",0,136,53,114,207,0,3,0,0,0,0
" ENSMUSG00000029781","ENSMUSG00000029781","  Fkbp9",311,915,5,618,102,87,39,145,515,189,33
" ENSMUSG00000080242","ENSMUSG00000080242","  Atp6v0c-ps2",12,7,5,282,5,255,220,6,10,9,12
" ENSMUSG00000113439","ENSMUSG00000113439","  Gm49382",64,127,63,80,0,0,0,188,154,39,1
" ENSMUSG00000022055","ENSMUSG00000022055","  Nefl",931,321,7,156,103,20,33,319,264,333,172
" ENSMUSG00000066553","ENSMUSG00000066553","  Gm6969",1,187,64,93,117,138,0,134,164,0,102
" ENSMUSG00000117987","ENSMUSG00000117987","  ",287,232,150,257,159,230,52,407,811,0,586
" ENSMUSG00000107470","ENSMUSG00000107470","  Gm3375",178,155,73,138,0,64,56,1,3,1,100
" ENSMUSG00000113332","ENSMUSG00000113332","  Gm9259",81,112,74,95,0,0,0,106,157,53,0
" ENSMUSG00000073418","ENSMUSG00000073418","  C4b",228,33,9,83,7,8,0,293,146,136,81
" ENSMUSG00000047261","ENSMUSG00000047261","  Gap43",249,106,47,118,10,7,6,282,302,231,165
" ENSMUSG00000032554","ENSMUSG00000032554","  Trf",942,242,50,198,338,8,34,549,338,291,154
" ENSMUSG00000113199","ENSMUSG00000113199","  Gm9229",9,136,32,58,0,0,0,113,150,5,0
" ENSMUSG00000050936","ENSMUSG00000050936","  Gm42743",0,86,3,143,2,131,81,3,0,0,12
" ENSMUSG00000058952","ENSMUSG00000058952","  Cfi",2128,2142,1390,748,218,194,97,2010,2502,2011,1912
" ENSMUSG00000006546","ENSMUSG00000006546","  Cryba2",194,197,71,173,83,138,24,226,556,0,322
" ENSMUSG00000075020","ENSMUSG00000075020","  Mir670hg",93,59,20,11,309,545,802,81,95,121,72
" ENSMUSG00000020758","ENSMUSG00000020758","  Itgb4",366,23,12,51,37,53,50,233,476,45,417
" ENSMUSG00000000724","ENSMUSG00000000724","  Cryba1",170,170,53,140,91,144,29,272,512,1,366
" ENSMUSG00000047344","ENSMUSG00000047344","  Lancl3",3,85,33,48,18,32,12,196,315,260,166
" ENSMUSG00000095597","ENSMUSG00000095597","  Gm6472",133,309,183,175,16,98,11,280,137,11,18
" ENSMUSG00000116926","ENSMUSG00000116926","  Gm18234",0,97,0,59,0,74,0,0,0,0,72
" ENSMUSG00000061808","ENSMUSG00000061808","  Ttr",405,35,1,57,137,4,10,46,113,28,51
" ENSMUSG00000042129","ENSMUSG00000042129","  Rassf4",380,55,297,36,63,460,353,431,1086,848,407
" ENSMUSG00000071637","ENSMUSG00000071637","  Cebpd",312,539,36,133,72,10,18,238,253,177,79
" ENSMUSG00000005994","ENSMUSG00000005994","  Tyrp1",195,34,6,53,90,17,0,19,245,87,9
" ENSMUSG00000034837","ENSMUSG00000034837","  Gnat1",684,212,75,163,3953,875,1206,878,656,766,958
" ENSMUSG00000070880","ENSMUSG00000070880","  Gad1",258,738,6,69,152,45,57,271,295,177,185
" ENSMUSG00000060177","ENSMUSG00000060177","  Klk1b22",34,2,0,3,144,0,0,159,17,9,7
" ENSMUSG00000108608","ENSMUSG00000108608","  Gm6916",3,3,1,91,2,78,145,1,2,5,2
" ENSMUSG00000073197","ENSMUSG00000073197","  5730507C01Rik",436,30,35,38,215,337,285,43,16,243,174
" ENSMUSG00000020932","ENSMUSG00000020932","  Gfap",158,86,13,29,6,7,11,180,91,267,48
" ENSMUSG00000045903","ENSMUSG00000045903","  Npas4",1112,532,52,145,518,1188,2285,553,1140,1106,886
" ENSMUSG00000025927","ENSMUSG00000025927","  Tfap2b",272,624,11,140,138,32,44,316,334,145,256
" ENSMUSG00000050953","ENSMUSG00000050953","  Gja1",386,19,16,90,160,33,24,85,441,141,29
" ENSMUSG00000018339","ENSMUSG00000018339","  Gpx3",854,58,28,135,189,97,83,202,795,412,64
