gene,cng_1,cng_2,cng_3,cng_4,wt_1,wt_2,wt_3,treatment30_1,treatment30_2,treatment30_3,treatment30_4,treatment90_1,treatment90_2,treatment90_3,treatment90_4
ENSMUSG00000102693,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,291,229,154,178,89,154,99,190,250,232,280,159,162,165,145
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
ENSMUSG00000103377,2,2,0,1,0,4,6,3,6,0,5,0,1,3,0
ENSMUSG00000104017,0,4,2,1,1,0,2,1,6,2,3,2,2,5,1
ENSMUSG00000103025,4,1,3,1,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,1,7,0,0,0,0,3,1,2,0,3,0,0,0,0
ENSMUSG00000103147,0,3,8,0,0,0,10,2,0,5,7,1,2,0,2
ENSMUSG00000103161,0,4,1,2,4,3,1,1,2,5,2,0,5,3,3
ENSMUSG00000102331,1,8,0,11,4,10,17,6,4,5,10,0,4,4,6
ENSMUSG00000102348,0,0,2,0,1,2,0,1,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
ENSMUSG00000025900,27,27,0,1,274,44,42,80,60,81,102,91,88,62,80
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,0,0,0,0,0,0,0,5,4,0,6,8,4,0,0
ENSMUSG00000104238,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000102269,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000102735,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0
ENSMUSG00000098104,11,17,3,6,7,9,17,8,10,12,8,6,11,12,7
ENSMUSG00000102175,4,1,1,2,0,0,2,0,0,0,2,0,3,0,1
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,2,3,0,0,0,0,0,0,0,0,0,0,4,0,0
ENSMUSG00000103922,4,20,4,22,4,16,8,11,3,2,5,7,22,9,5
ENSMUSG00000033845,454,449,256,328,312,387,363,438,657,438,457,298,436,436,394
