gene,S4,S5,S6,S7,S28,S29,S30,S31,S1,S2,S3
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,205,211,205,204,362,256,273,329,191,161,271
ENSMUSG00000102851,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000103377,0,7,0,0,1,12,2,1,1,0,0
ENSMUSG00000104017,3,3,0,0,7,8,8,6,0,0,0
ENSMUSG00000103025,0,0,0,0,1,0,1,6,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,1,3,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,4,13,0,0,0
ENSMUSG00000103147,0,1,0,0,2,0,3,2,0,0,0
ENSMUSG00000103161,0,4,0,0,4,8,6,5,0,0,1
ENSMUSG00000102331,0,0,15,5,9,23,8,5,0,0,0
ENSMUSG00000102348,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,161,128,64,184,189,259,145,155,405,169,171
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,0,0,5,1,0,11,16,0,0,0,0
ENSMUSG00000104238,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000102269,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,2,10,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000098104,7,5,7,2,12,6,12,7,8,10,11
ENSMUSG00000102175,0,5,0,0,2,0,0,1,0,2,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,4,0,0,0,2,7,0,0,0,0,0
ENSMUSG00000103922,8,24,22,9,12,16,12,7,31,9,18
ENSMUSG00000033845,390,354,229,355,411,398,307,393,513,328,452
ENSMUSG00000102275,11,8,10,8,3,4,8,13,11,3,11
ENSMUSG00000025903,483,302,194,316,375,319,396,350,392,317,360
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,258,260,171,237,244,330,289,224,250,267,250
ENSMUSG00000062588,5,0,0,1,1,0,6,2,2,0,1
ENSMUSG00000103280,11,14,0,15,36,11,27,27,19,24,21
ENSMUSG00000002459,13,19,0,15,34,42,48,28,27,12,33
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,5,3,0,2,3,0
ENSMUSG00000085623,3,2,0,0,2,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,1543,1706,1110,1213,1822,1883,1406,1548,1938,1375,1680
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,2,0,5,1,0,8,0,2,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,25,7,0,10,2,7,12,3,7,19,11
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,1942,1643,1227,1367,1940,1671,1740,1562,2269,1698,1779
ENSMUSG00000090031,252,206,177,225,240,182,264,252,228,204,274
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,1,0,0,1,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,7,18,26,16,7,10,5,21,12,15,15
ENSMUSG00000033740,6308,5928,3874,5100,6969,5460,4341,5223,8370,6343,6054
ENSMUSG00000103329,174,224,131,140,196,216,101,187,240,239,195
ENSMUSG00000104385,1,2,0,1,2,0,1,0,1,0,0
ENSMUSG00000102135,0,2,1,0,4,0,1,3,0,3,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000051285,1271,1211,807,1108,1357,1168,856,1163,1243,1055,1233
ENSMUSG00000098201,0,0,0,3,2,1,0,0,0,0,0
ENSMUSG00000103509,34,39,17,38,45,79,108,61,34,44,23
ENSMUSG00000048538,0,0,0,0,3,8,0,0,0,0,0
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,1,2,0,0,3,7,3,7,4,2,0
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,1,1,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,9,7,12,15,18,7,7,18,30,26,10
ENSMUSG00000102647,0,0,0,0,1,0,1,0,0,0,0
ENSMUSG00000086235,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000102253,0,3,0,0,0,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000084353,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103933,1,3,1,0,5,9,0,1,2,1,1
ENSMUSG00000076135,0,0,1,0,0,0,1,0,0,0,0
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102316,0,0,0,0,1,0,1,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,0,3,0,0,0,0
ENSMUSG00000101571,0,0,0,1,1,0,1,1,0,1,1
ENSMUSG00000104428,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000102272,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000061024,362,315,268,279,463,347,291,307,409,387,370
ENSMUSG00000025911,9,2,0,6,8,0,4,1,3,2,6
ENSMUSG00000079671,6,3,0,1,0,0,0,0,0,0,0
ENSMUSG00000081441,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000067879,8,0,0,12,3,1,6,3,0,0,6
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,70,88,73,75,118,119,123,82,98,75,88
ENSMUSG00000045210,1757,1538,939,1446,1925,1889,1701,1717,1917,1618,1523
ENSMUSG00000097893,265,200,149,266,356,340,302,268,331,320,328
ENSMUSG00000025915,27,19,25,20,30,9,29,35,17,21,6
ENSMUSG00000046334,3,0,1,2,0,0,0,0,0,0,0
ENSMUSG00000088916,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000046101,20,23,13,15,34,26,40,54,27,23,26
ENSMUSG00000098234,84,112,52,74,108,85,71,77,108,92,88
ENSMUSG00000093178,4,0,4,0,4,0,1,5,0,4,0
ENSMUSG00000099032,0,0,0,0,1,0,1,1,0,2,0
ENSMUSG00000104025,0,0,0,0,1,0,1,0,0,2,0
ENSMUSG00000025916,6,3,0,4,7,5,3,3,0,2,4
ENSMUSG00000087199,0,0,0,0,0,0,1,1,0,0,0
ENSMUSG00000095780,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025917,730,913,474,711,768,748,683,681,979,788,993
ENSMUSG00000056763,820,858,648,755,947,623,822,945,899,693,836
ENSMUSG00000102356,0,0,0,0,0,0,4,0,1,0,0
ENSMUSG00000067851,3720,3485,2466,2906,4122,3602,3589,3491,3836,3165,3676
ENSMUSG00000088153,4,0,0,0,0,5,5,0,4,0,0
ENSMUSG00000102556,0,0,0,2,2,0,6,0,2,0,8
ENSMUSG00000042501,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103810,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000083422,4,1,3,4,4,5,1,3,1,1,5
ENSMUSG00000094979,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000103448,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212,0,0,1,1,4,1,0,0,2,2,3
ENSMUSG00000100648,0,0,0,1,0,1,0,0,1,1,0
ENSMUSG00000088585,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000048960,48,9,0,36,11,32,61,9,25,32,4
ENSMUSG00000077318,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827,10,30,8,11,17,26,14,13,27,11,21
ENSMUSG00000103494,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000057715,0,3,0,2,1,0,0,0,0,0,0
ENSMUSG00000103825,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099845,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103561,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101610,0,0,0,0,0,0,1,0,0,0,1
ENSMUSG00000093864,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098555,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097628,13,18,21,22,20,15,11,14,15,13,25
ENSMUSG00000098163,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000097171,0,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000101314,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000016918,3081,3028,2828,2345,2857,2484,2374,2761,2441,2022,2390
ENSMUSG00000025938,3177,3664,2436,3235,4044,3379,4676,5170,3688,3089,4282
ENSMUSG00000104518,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000069620,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000099498,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000042414,0,0,0,0,4,0,0,0,0,0,0
ENSMUSG00000005886,4212,4364,2853,3676,5023,4597,4309,4316,4746,4229,4480
ENSMUSG00000103506,0,9,5,3,6,13,13,11,0,1,0
ENSMUSG00000103495,6,0,0,0,3,0,4,11,6,4,0
ENSMUSG00000099183,0,7,0,0,0,0,0,2,0,0,0
ENSMUSG00000102639,0,2,0,0,0,0,4,1,0,0,3
ENSMUSG00000104170,0,0,0,4,1,1,10,9,0,1,8
ENSMUSG00000087782,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103085,2,14,11,2,3,3,31,40,3,2,0
ENSMUSG00000102664,7,12,2,0,12,21,17,16,0,3,2
ENSMUSG00000101476,0,0,0,0,0,4,2,0,0,0,0
ENSMUSG00000101171,3,0,0,3,0,0,2,2,2,0,3
ENSMUSG00000025935,814,874,577,662,664,814,788,842,1044,671,832
ENSMUSG00000025937,384,436,295,287,410,299,355,382,361,304,388
ENSMUSG00000102982,3,0,11,4,7,0,10,2,1,1,2
ENSMUSG00000067813,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077368,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097711,13,16,11,9,16,13,13,14,13,5,33
ENSMUSG00000102166,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089358,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104209,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025932,30,22,7,19,57,53,23,23,79,60,39
ENSMUSG00000095853,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102588,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000054493,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000025930,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103492,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081201,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000082193,0,0,1,0,2,1,1,6,0,0,1
ENSMUSG00000032769,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088159,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000073737,0,2,1,5,1,3,1,1,4,3,4
ENSMUSG00000092083,3692,2234,2109,2083,3630,4046,2063,1935,4515,4061,3564
ENSMUSG00000102937,2,3,0,0,13,14,14,24,4,1,6
ENSMUSG00000104149,9,7,0,1,6,12,10,8,2,3,4
ENSMUSG00000088829,0,0,0,0,0,0,0,0,0,3,0
ENSMUSG00000077377,0,0,0,0,0,0,0,0,3,0,0
ENSMUSG00000101652,0,0,0,0,2,0,1,1,0,0,0
ENSMUSG00000100814,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025925,244,206,128,161,309,232,263,228,270,185,178
